id,episodeNumber,title,overview,stillPath,season_id,videoUrl
3727819,19,Episode 19,"D'Arnie informs Xenia of her departure for Austria and that she will still have to kill Peter if she does not want to lose the position she has already achieved. Perth is extremely dangerous - he has enslaved her will. Ksenia hesitates. When Peter comes to his senses, she decides to give him a choice between life and death – two bottles, one of which is medicine, the other is poison. Peter unmistakably chooses life.",,294178,https://vidsrc.to/embed/tv/20539/1/19
3727820,20,Episode 20,"D'Arnie makes another attempt to kill Peter. This is prevented only by the sudden appearance of Xenia. As he leaves, D'Arnie warns Palen to keep an eye on his daughter. After the accession of Alexander, Russia awakens from its slumber. Universal joy is not shared only by the emperor himself, immersed in himself. The conspirators wait for awards and gratitude, but Alexander sends them out, leaving only Palena at court.",,294178,https://vidsrc.to/embed/tv/20539/1/20
3727821,21,Episode 21,"Having recovered from his illness, Peter is still worried that he could not prevent the assassination of the emperor. He wants to resign. This desire is joined by Lugin, who is disillusioned with autocracy. Tolstoy considers the decision of his friends an unforgivable folly. Emperor Alexander dreams of transforming Russia. To create reform projects, he organizes an Unofficial Committee, to which he invites those who have earned his trust.",,294178,https://vidsrc.to/embed/tv/20539/1/21
3727822,22,Episode 22,"Ksenia tries to talk to Peter. But he is tired of the assurances of love, Peter is irritated and does not intend to discuss this topic anymore. After leaving Ksenia, Peter goes to Olga and offers her to become his mistress. Czartoryski, taking advantage of Elizabeth's weakness and hesitation, shows perseverance. Elizabeth tells Adam that she can't change Alexandra. Alexander is waiting for a decision from Olga. Olga tries to talk to her husband, but Mongo is busy with ambitious thoughts - he is nurturing another project of reforms.",,294178,https://vidsrc.to/embed/tv/20539/1/22
3727823,23,Episode 23,"Peter decides not to resign, which he informs Alexander. He is ready to serve the emperor as before. Alexander is pensive, he understands that not signing the decree is only a temporary measure, it will not stop Palen. Alexander is desperate – he has no one to rely on. Lugin and Pyotr quarrel, Lugin, determined to resign, accuses Cherkasov of indecision. Peter ponders how to rid Alexander of Palen's influence. Ksenia decides to act.",,294178,https://vidsrc.to/embed/tv/20539/1/23
3727824,24,Episode 24,"Eudoxia says that it is Peter's duty to marry Xenia. Peter makes a promise to his mother, but after Evdokia leaves, he does not hide his anger at Xenia. Filer informs Mongo that Peter was dating a girl in the park who is expecting a child from him. Mongo decides that it is his wife. Nobly wanting to put an end to all this, he goes to Peter to abandon Olga. Because of the misunderstanding between them, a quarrel breaks out.",,294178,https://vidsrc.to/embed/tv/20539/1/24
3727825,25,Episode 25,"Peter invites Olga to flee. He considers Mongo a scoundrel who decided to divorce Olga because of something. Olga says that no one cares about her feelings. Peter, realizing that she does not love him, asks Olga to leave. Marquis D'Arnie makes an unpleasant discovery for himself - he really loves Xenia. Realizing this, he decides to let her go, refusing revenge.",,294178,https://vidsrc.to/embed/tv/20539/1/25
3727826,26,Episode 26,"Peter justifies the emperor, believing that he fell into the arranged nets. Deciding that It's All Olga's fault, he goes to her. There is an explanation between Mongo and Olga. At this time, Peter secretly enters the house. Seeing that Olga is alone, he comes out of hiding and announces that she is treacherous and unworthy of his love. At this point, Mongo enters the room. Xenia realizes that Peter used her to get closer to the emperor.",,294178,https://vidsrc.to/embed/tv/20539/1/26
3727827,27,Episode 27,"Mongo figures out his relationship with Peter. Being sure that Olga is pregnant with Peter's child, he only cares about her reputation. Realizing that he has become a toy in the wrong hands, Czartoryski goes to Alexander and asks to be expelled from St. Petersburg. During the ""lookouts"" Varya braves the hapless groom, Count Bielski... and runs away from home. At the apartment of Peter and Tolstoy, Varya meets Lugin and shares her misfortune with him - now his mother wants to marry her to a neighbor on the estate.",,294178,https://vidsrc.to/embed/tv/20539/1/27
3727828,28,Episode 28,"Peter reflects on D'Arnie's proposal. Tormented by doubts, he appears in Xenia's house: she is the only one telling him the truth. Xenia is unable to resist her feelings, she tells Peter about the danger that comes from DArney and that she loves Peter no matter what. Peter realizes how unfair he was to Xenia. For the first time in a long time, understanding arises between them. At this point, D'Arnie arrives.",,294178,https://vidsrc.to/embed/tv/20539/1/28
3727829,29,Episode 29,"Peter, realizing that D'Arnie is on the threshold of the room, hides behind a curtain - he promised D'Arnie not to see Ksenia. D'Arnie informs Xenia that departure is near. After his departure, Ksenia tells Peter that she will soon leave Russia and stop annoying him. Peter does not want Xenia to leave, he will expel D' Arnie from Russia and Ksenia will stay with him. In this determination, Peter walks away from Xenia. Immediately D'Arnie appears in the room, Xenia terrified - he saw Peter.",,294178,https://vidsrc.to/embed/tv/20539/1/29
3727830,30,Episode 30,"While Peter is haunted by the idea that Olga is Alexander's mistress, Evdokia and Kuragin are trying to draw his attention to something else - he must marry Ksenia. Alexander trusts Peter infinitely. Unaware of Cherkasov's experiences, he sets Olga a date in his chambers and asks Peter to stand on the clock. Peter cannot refuse the emperor - the name of the lady was not called. Czartoryski, who found Olga in Alexander's arms, tells Elizabeth about everything.",,294178,https://vidsrc.to/embed/tv/20539/1/30
3727831,31,Episode 31,"Peter does not succumb to D'Arnie's provocations. A fight breaks out. Olga, being in the arms of Alexander, suddenly faints. Elizabeth resolutely goes to her husband's chambers, Czartoryski cannot stop her. When Elizabeth approaches, D'Arnie leaves Peter and disappears without a trace. After bypassing the cavalryman, Elizabeth opens the door. Elizabeth and Peter see an unambiguous scene – the emperor bent over the lying Olga.",,294178,https://vidsrc.to/embed/tv/20539/1/31
3727832,32,Episode 32,"Peter, having decided to stay with Xenia, realizes that D'Arnie is unlikely to leave them alone. He tries to expose D'Arnie and undermine his influence. Having achieved a meeting with the French ambassador Savary, Cherkasov insists on checking the ""fake marquis"". And he gets advice not to stick his nose in the wrong business. Peter decides to ask Alexander for help. Evdokia is happy with Ksenia's desire to convert to Orthodoxy, she persuades Kuragin to be Xenia's godfather with her and is looking forward to baptism.",,294178,https://vidsrc.to/embed/tv/20539/1/32
3727833,33,Episode 33,"Olga's divorce does not change Peter's decision - he intends to marry Ksenia. Alexander wants to take advantage of Mongo-Stolypin's divorce to make Olga his keeper. At the meeting, Olga asks the emperor to help save her marriage. Alexander again admires her devotion and love for her husband, he decides to talk to Mongo.",,294178,https://vidsrc.to/embed/tv/20539/1/33
3727834,34,Episode 34,"Night events do not change The determination of Mongo-Stolypin, he insists on a divorce from Olga. Peter exposes D' Arnie. Savary orders his arrest, but D'Arnie manages to escape, almost killing Savary himself. Alexander finally listens to Peter's reasons and declares D'Arnie persona non grata. D'Arnie continues to threaten Mongo: he will not leave Olga alone if Roman does not agree to cooperate with him. Mongo is ready to advise Alexander to start a war with France.",,294178,https://vidsrc.to/embed/tv/20539/1/34
3727835,35,Episode 35,Olga decides to forget about Peter forever and informs her husband that she is pregnant. Mongo is sure that the child is not his. Czartoryski convinces Elizabeth that Alexander is dating Olga. Elizabeth finds Olga's letter in Alexander's office and realizes that she is being cruelly deceived. Constantine proposes to Vara. Ksenia tries on a wedding dress.,,294178,https://vidsrc.to/embed/tv/20539/1/35
3727836,36,Episode 36,"Olga and Peter understand that fate again gives them a chance to reunite: Ksenia is gone, and Mongo wants a divorce. During their conversation, Alexander enters the room and, seeing them together, is finally convinced that Mongo is right: Olga and Peter are lovers! A carriage with D'Arnie and Xenia rushes from St. Petersburg. The fright has passed, and Ksenia frantically comes up with an escape plan. Elizaveta tries to seduce Okhotnikov, but he realizes that he will only be a toy in her hands.",,294178,https://vidsrc.to/embed/tv/20539/1/36
3727837,37,Episode 37,"Peter tells his mother that he is starting a new life: he is free from all obligations, the emperor has alienated him from himself, and the bride has run away. He goes to Olga to offer her to be together again. Olga informs Peter of her pregnancy. It is the child who keeps her from a rash step and she decides to stay with Mongo-Stolypin. Elizabeth begins to secretly meet with Okhotnikov.",,294178,https://vidsrc.to/embed/tv/20539/1/37
3727838,38,Episode 38,"Olga is surprised to see Mongo and Peter together. To relieve tension, Mongo pours wine on her as well. He changes his mind about killing Peter. Varya tries to find out from Lugin the truth about the murder of Lenchen. Lugin, realizing what is the matter, warns Varya - Konstantin is a dangerous person. Constantine is playing his game. He admires Varya and invites her to become Elizabeth's maid of honor.",,294178,https://vidsrc.to/embed/tv/20539/1/38
3727839,39,Episode 39,"Having become a lady-in-waiting, Varya soon notices a dismissive attitude towards herself on the part of the Empress and her entourage. Varya decides to talk to Elizabeth because Constantine deliberately ruined her reputation. Lugin, having learned from Constantine that Varya is his mistress, challenges the Grand Duke to a duel. At Kuragin's evening, Mongo-Stolypin invites Peter to the card table.",,294178,https://vidsrc.to/embed/tv/20539/1/39
3727840,40,Episode 40,"Deciding to leave St. Petersburg, Peter comes to say goodbye to Evdokia, but Kuragin does not let him on the threshold. Olga realizes that Mongo destroyed everything that was between them. She decides on an impulsive act... Olga runs away from her husband. At the post station, she meets Lugin. He offers her his help. Okhotnikov says goodbye to Elizabeth and leaves St. Petersburg. Elizabeth saves Varya from the claims of Grand Duke Constantine. D'Arny brings Xenia to the outskirts of Paris.",,294178,https://vidsrc.to/embed/tv/20539/1/40
3727841,41,Episode 41,"Eudoxia knows that her son has not died, but has gone on a secret mission to France. After leaving his unit, Tolstoy finds Varya in Elizabeth's chambers. Varya admits that she is a prisoner of Constantine. Alexander invites Tolstoy to his house and informs him that Peter is alive and in France on his instructions. The purpose of Peter's mission is to obtain Napoleon's secret correspondence with the Austrian court. Alexander instructs Tolstoy to take Peter a package for Napoleon.",,294178,https://vidsrc.to/embed/tv/20539/1/41
3727842,42,Episode 42,"Olga brings the wounded Lugin to Spartacus' house. D' Arnie arranges a ""check"" on Xenia and finds out that the girl does not remember anything. Tolstoy comes to Vara to say goodbye: he leaves, but cannot take her with him. Konstantin takes Varya to his country house and begins to describe the charms of their future life together. Suddenly, Tolstoy breaks into the house of the Grand Duke, and a fight ensues. Tolstoy manages to escape with Varya.",,294178,https://vidsrc.to/embed/tv/20539/1/42
3727843,43,Episode 43,"Olga begs Lugin to flee Spartacus' house. Spartacus finds Xenia in a secret room and realizes that she knows the secret of Peter and D' Arnie. He admits that Ksenia's child is alive, and he plans to raise a superman from a baby. After putting the young woman to sleep, Spartacus informs Charles that he will feed the baby with synthesized milk.",,294178,https://vidsrc.to/embed/tv/20539/1/43
3727844,44,Episode 44,"Sibari comes to Olga's prison cell and she asks for his help. Soon, the young woman is released and brought with the child to Sibari's house. Pauline invites Peter to a masquerade in Sainte-Cloud. Meanwhile, Varya begins to suspect the true reason for Tolstoy's arrival in France. In his belongings, she finds a package with the imperial seal. Having met with Tolstoy, Peter asks him to attend a ball - a masquerade.",,294178,https://vidsrc.to/embed/tv/20539/1/44
3727845,45,Episode 45,"Sibari persuades Olga to accompany him to a masquerade in Saint-Cloud. Varya decides to follow Tolstoy and, dressed in a man's dress, follows him. But suddenly, Tolstoy disappears from her sight. In the secret room, he meets peter. Everything is ready, friends discuss the last details of the operation. Lugin and Spartacus devise a plan to assassinate Napoleon.",,294178,https://vidsrc.to/embed/tv/20539/1/45
3727846,46,Episode 46,"Taking advantage of the general bustle of the ball, Peter eludes Josephine. Tolstoy, seeing Varya in the crowd, leaves Polina and rushes after her. Sibari jealously watches Olga and Napoleon's conversation. Lugin, holding a dagger at the ready, keeps a close eye on the emperor talking to his wife. Josephine asks Napoleon to beware of Peter: he behaves very suspiciously... Xenia and D'Arnie are preparing to fulfill their master's task.",,294178,https://vidsrc.to/embed/tv/20539/1/46
3727847,47,Episode 47,"Olga refuses Sibari but asks to save the child, who is with Spartacus. Finding Mongo in Spartacus' house, Sibari realizes that Olga is his wife. Napoleon, who found Peter and Josephine in his office, demands an explanation. Peter decides to go all in. But Napoleon is amused by his confession. Returning to the masquerade, Peter notices D'Arnie and Xenia among the dancers.",,294178,https://vidsrc.to/embed/tv/20539/1/47
3727848,48,Episode 48,"On the street, Peter meets Ksenia and realizes that she really does not remember anything about her past. During a conversation with the Duke of Enghien, D'Arny invites him to lead the conspiracy. Constantine, on the instructions of Napoleon, comes to Sibari to pick up Olga and deliver her to the palace... Tolstoy and Lugin quarrel over Vari. At this time, an agent of Grand Duke Constantine brings her a letter. Young people decide to ask about its contents.",,294178,https://vidsrc.to/embed/tv/20539/1/48
3727849,49,Episode 49,"Peter intends to find out why Ksenia lost her memory and where their child is. Sibari informs Olga that her husband is rumored to be dead. Josephine appears at Sibari's house. She suspects that Olga is another mistress of Napoleon... D'Arnie introduces Xenia to the Duke of Enghien, introducing her as his sister. Ksenia asks him out on a date and leads him to the other side of the river, where the border with France passes. The Duke falls into the hands of Anatole's agents, notified by D'Arny.",,294178,https://vidsrc.to/embed/tv/20539/1/49
3727850,50,Episode 50,"Peter informs Xenia that the man she considers her husband is a murderer. Back home, Xenia tries to gently question D'Arnie. He forbids her to see Peter. Olga learns from a maid that Sibari had a conversation with Napoleon. Having decided to leave, she goes to church for confession... Varya becomes a prisoner of Spartacus. Xenia comes to Peter. His apartment is a mess: someone searched the house.",,294178,https://vidsrc.to/embed/tv/20539/1/50
3727851,51,Episode 51,"The stranger's face, who has fallen from the gunshot, rips off the hood. Olga tries to approach the wounded man, but she is intercepted by Constant. On behalf of Napoleon, he forcibly takes the girl to Saint-Cloud. Xenia, taking up arms, stands up for Peter. Napoleon again unsuccessfully tries to seduce Olga, he even decides to use force. But at the decisive moment, Josephine enters... Constant takes Olga to Sibari's house and puts a guard on her. Sibari proceeds to interrogate the Duke of Enghien.",,294178,https://vidsrc.to/embed/tv/20539/1/51
3727852,52,Episode 52,"Sitting under house arrest, Olga tries to escape. Mongo and Varya maintain a presence of mind and seek escape from the labyrinth. Xenia asks D'Arnie to talk about his past. D'Arnie, to his horror, remembers nothing. He asks about his childhood Spartacus, who raised him. Spartacus swears that he did not conduct experiments on D'Arny's memory and reports on its origin",,294178,https://vidsrc.to/embed/tv/20539/1/52
3727853,53,Episode 53,"Peter manages to arrange a secret meeting between Alexander and Napoleon, of which not even D'Arny knows. They quickly reach an understanding, and Napoleon invites Alexander to a ball in Saint-Cloud in the evening. Alexander, pleased with the meeting, expresses his gratitude to Peter. Varya and Anna Antonovna come to Olga and bring her the child Ksenia. Mongo asks them not to reveal his presence. Olga, busy thinking about her fate and the fate of the child, agrees to a meeting with Napoleon.",,294178,https://vidsrc.to/embed/tv/20539/1/53
3727854,54,Episode 54,"Napoleon signs an order pardoning the Duke of Enghien. Josephine hands the paper to Peter. Mongo reappears at Sibari's house. From Anna Antonovna, he learns that Olga has gone to the palace and is in a hurry for her. There is a fire in Spartacus' house. Varya suggests that Lugin wait until the wooden one burns out and get free. Olga tells Napoleon that she has not changed her mind: her consent to the meeting is the only way to get out of prison and talk to him.",,294178,https://vidsrc.to/embed/tv/20539/1/54
3727855,55,Episode 55,"Peter and Olga, having understood each other without words, leave the hall. They are followed by Mongo. Tolstoy lures Varya out for an evening walk and confesses his love to her. D'Arnie finds Xenia in Peter's rented apartment. She still considers D'Arnie her husband Klaus but announces to him that she loves Peter. In addition, Xenia shows D'Arny Spartacus' diary, from which D'Arnie learns that he and Pyotr Cherkasov are brothers. Napoleon gives the order to shoot the Duke of Enghien.",,294178,https://vidsrc.to/embed/tv/20539/1/55
3727856,56,Episode 56,"Olga and Peter can't talk. But time does not wait - Peter must urgently hand over a letter of pardon to the Duke of Enghien to Sibari. The owner of the tavern gives Olga gifts from an unknown sender. Mongo-Stolypin asks Anna Antonovna and Varya not to tell Olga that he is alive. Soon, a monk comes to Mongo - a member of the secret society of the Templars - and offers help in getting rid of mental anguish.",,294178,https://vidsrc.to/embed/tv/20539/1/56
3727857,57,Episode 57,"Olga sees Mongo's presence everywhere. Anna Antonovna and Varya unsuccessfully try to distract her from obsessions about her husband. But she goes to the tavern in the hope of finding out from the hostess who handed over the things and money. Varya is going to learn the real story of the baby from the house of Spartacus, she is joined by a filler. Peter understands that the murder of the duke will serve as a pretext for the termination of relations between France and Russia.",,294178,https://vidsrc.to/embed/tv/20539/1/57
3727858,58,Episode 58,"Mongo takes Peter's word that he will keep quiet about their meeting. Dreaming with Peter about the future, Olga tries to drown out her fears. Petra is also depressed by Mongo's vow of silence. Spartacus confesses to D'Arnie that he is his son. He advises D'Arnie to forget about Xenia and dedicates to his plans for the future. Meanwhile, the filler obtains information about Spartacus for Var. To learn more about the Illuminati order, Varya infiltrates an abandoned monastery library.",,294178,https://vidsrc.to/embed/tv/20539/1/58
3727862,59,Episode 59,"On the streets of Paris, Napoleon meets Olga. She is happy with Peter, but she is haunted by the ghost of her husband. Peter and Varya discuss the incidents of the last few days. They talk about the impending war, Mongo and his relationship with Olga, and the secret of the child. Varya intends to learn all about its origins. Kuragin and Adam discover that Polina, Napoleon's sister, has seduced Alexander... Spartacus tries to master the consciousness of Xenia and make her a loyal servant, instead of the murdered Charles.",,294178,https://vidsrc.to/embed/tv/20539/1/59
3727874,60,Episode 60,"Kuragin and Adam inform Peter and Olga that Grand Duke Alexander has been kidnapped! At the scene, Peter discovers an Illuminati hairpin. Mongo in the monastery is preparing to receive initiation. The Illuminati buy Luguin and bring him to the monastery, where he is met by D'Arny. Xenia manages to escape from Spartacus. But, once in the labyrinth under the monastery, she cannot find a way out. Alexander does not understand why he was kidnapped, and what trials he will face.",,294178,https://vidsrc.to/embed/tv/20539/1/60
3727875,61,Episode 61,"Olga finds Mongo's button in her daughter's crib. Sibari, who noticed her excitement, could not stand it and told the whole truth. Varya and the filler find Mongo in the Templar monastery. He is ready to start a new life, to renounce all worldly things. Varya tries to convince Mongo not to make a fatal mistake: he must be with Olga because she loves him. Tolstoy faces death in a shuang cell. Deciding that it is foolish to die without a fight, he enters into an unequal battle.",,294178,https://vidsrc.to/embed/tv/20539/1/61
3727876,62,Episode 62,"At the Templar monastery, Olga tries to find out where her husband is. The monk denies any possibility of Mongo being there. In the theater, Peter meets D'Arnie, who replaces an actor in the play who looks like Alexander. In exchange for information about Ivan Cherkasov, he is ready to report where the emperor is. After hearing that Peter remembered his father, D'Arny tells about his son Peter and Xenia as a reciprocal favor and disappears. Napoleon declares to Peter that he is not involved in Alexander's kidnapping.",,294178,https://vidsrc.to/embed/tv/20539/1/62
3727877,63,Episode 63,"Peter, Kuragin, and Czartoryski ask Napoleon to assist in the search for the Russian emperor. Michel tells D'Arnie that Spartacus is not his father. The Shuang rob the inn of the ""White Queen"", and Tolstoy tries to prevent them. The Illuminati are preparing the actor Leander for the role of Alexander's double, who is destined for a ritual death. Peter begins an independent search for the emperor and stumbles upon Mongo in the monastery.",,294178,https://vidsrc.to/embed/tv/20539/1/63
3727878,64,Episode 64,"Lugin is unable to become Alexander's executioner. He is a nobleman and is ready to defend the emperor to the end. In addition, Peter comes to the rescue. Spartacus orders D'Arny to kill Cherkasov. Lugin reveals a secret to Peter: D'Arnie is his brother. Spartacus himself sets fire to the fire with Alexander, at which point Kuragin and the filler appear. Olga begs Mongo to retract his decision. Varya and Ksenia finally find a way out of the labyrinth and get into the hall where Alexander's execution takes place.",,294178,https://vidsrc.to/embed/tv/20539/1/64
3727879,65,Episode 65,"Ksenia is mortally wounded, and her last wish is to see her baby. Peter brings a baby. Kuragin arranges a ceremony for them according to all the rules. Kuragin tells Peter and D'Arnie that they are brothers. Peter lets his brother go. Napoleon prepares for his coronation and promises Josephine that he will not leave her, even after becoming emperor. Sibari reports that Alexander has been released. Bonaparte orders the arrest of all those involved in the case.",,294178,https://vidsrc.to/embed/tv/20539/1/65
3727880,66,Episode 66,"Sibari warns Alexander that England wants to start remaking the world. Elizabeth finds Constantine after an. He begs her not to say anything to Alexander. Elizabeth writes a letter to Okhotnikov in the hope of being with him together at least during the period of Alexander's absence. Leander promises to give independence to Poland, but Czartoryski, who is in euphoria, does not notice the forgery. Kuragin learns about the emperor's double and makes the darkest assumptions.",,294178,https://vidsrc.to/embed/tv/20539/1/66
3727881,67,Episode 67,"A local resident tells Kuragin that the abandoned church in which they stay for the night is a cursed place. The people there are ghosts of those before whom they sin. Peter sees Ksenia... Peter blames Olga and Mongo for all his misfortunes. Varya informs Tolstoy that she refuses to marry. Lugin is not guilty of anything, he behaved with dignity, it was she herself who tried to seduce him under the influence of Spartacus' potion.",,294178,https://vidsrc.to/embed/tv/20539/1/67
