mediaContentId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage,cast,director
10,710,GoldenEye,GoldenEye,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",1995-11-16,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,6.901,4307,6.7153,MOVIE,en,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker",Martin Campbell
11,9087,The American President,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,6.534,780,2.8291,MOVIE,en,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith",Rob Reiner
12,12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",1995-12-22,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,/rLUTSWHmphMe0wH0WSFxcywzOHW.jpg,6.1,1101,3.0873,MOVIE,en,"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony",Mel Brooks
13,21032,Balto,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,7.302,2167,3.6074,MOVIE,en,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins",Simon Wells
14,10858,Nixon,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,1995-12-22,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg,6.859,396,2.5753,MOVIE,en,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins",Oliver Stone
15,1408,Cutthroat Island,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,/hHoIQVAmTg4RM7PPNhNvMlJk3mg.jpg,5.8,614,3.284,MOVIE,en,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide",Renny Harlin
16,524,Casino,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",1995-11-22,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,7.995,6501,6.9578,MOVIE,en,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",Martin Scorsese
17,4584,Sense and Sensibility,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",1995-12-13,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg,7.4,1830,5.2442,MOVIE,en,"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, Gemma Jones",Ang Lee
18,5,Four Rooms,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,5.899,2827,3.4729,MOVIE,en,"Tim Roth, Jennifer Beals, David Proval, Ione Skye, Madonna","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino"
19,9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,6.33,4533,6.0397,MOVIE,en,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton",Steve Oedekerk
20,11517,Money Train,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",1995-11-21,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,/gyaBJn7eR8Ol205wmT2Xpi6IuhA.jpg,5.864,861,3.7276,MOVIE,en,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper",Joseph Ruben
21,8012,Get Shorty,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg,6.505,1206,4.4202,MOVIE,en,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina",Barry Sonnenfeld
22,1710,Copycat,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,/f0wTYitK1lELuGygXslG7SQpY0E.jpg,6.48,1256,4.0671,MOVIE,en,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",Jon Amiel
23,9691,Assassins,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,/sYpmWBe1IO7Fxthtw3UmlzQEylK.jpg,6.496,1697,3.4565,MOVIE,en,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson",Richard Donner
24,12665,Powder,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",1995-10-27,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,/gAeFtnwgF4asNVbmrudWMHOilWj.jpg,6.996,710,5.5278,MOVIE,en,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith",Victor Salva
25,451,Leaving Las Vegas,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,/uqYjy4MwB4vZScpUPGdINVaSeTd.jpg,7.254,1637,3.2973,MOVIE,en,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber",Mike Figgis
26,16420,Othello,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,/7SqIfSVW3xKTk07FbUm4LrhOOeL.jpg,6.359,149,1.7305,MOVIE,en,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney",Oliver Parker
27,9263,Now and Then,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,6.87,474,3.0505,MOVIE,en,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann",Lesli Linka Glatter
28,17015,Persuasion,Persuasion,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.",1995-05-01,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg,7.155,145,3.0984,MOVIE,en,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave, Fiona Shaw",Roger Michell
29,902,The City of Lost Children,La Cité des enfants perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-17,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,/f5ynCAQ1MuDgwoVyjouTw6UgK1l.jpg,7.2,1207,2.6757,MOVIE,fr,"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus","Marc Caro, Jean-Pierre Jeunet"
30,37557,Shanghai Triad,摇啊摇，摇到外婆桥,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",1995-09-14,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,/gHG1OogmvDJldyi1tjqncjoblKV.jpg,6.766,111,1.8902,MOVIE,zh,"Gong Li, Li Baotian, Sun Chun, Li Xuejian, Liu Jiang",Zhang Yimou
31,9909,Dangerous Minds,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",1995-08-11,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,/k28lTv01nuncbs9Y2WZh6FQunqv.jpg,6.955,1258,3.6878,MOVIE,en,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde",John N. Smith
32,63,Twelve Monkeys,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",1995-12-29,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,/mKIkGoyuR71qz6FdiEiOjxvBQcS.jpg,7.605,9072,6.3235,MOVIE,en,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse",Terry Gilliam
34,9598,Babe,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",1995-07-18,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,/agkZziO4ZPAsVfKUrJD68lys08P.jpg,6.267,3099,5.8361,MOVIE,en,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn",Chris Noonan
36,687,Dead Man Walking,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1995-12-29,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,/gwRWQeHfPuA8mg73kydQsM8rdXq.jpg,7.328,1497,8.6208,MOVIE,en,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey",Tim Robbins
38,33689,It Takes Two,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1995-11-17,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,/yS3E5LOcFsk3eWGh3oWGnsfV1M8.jpg,6.5,964,3.1478,MOVIE,en,"Kirstie Alley, Steve Guttenberg, Ashley Olsen, Mary-Kate Olsen, Jane Sibbett",Andy Tennant
39,9603,Clueless,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,/65d0MccsiRSPTVicregKQL8owoo.jpg,7.25,4780,7.0619,MOVIE,en,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison",Amy Heckerling
40,34615,"Cry, the Beloved Country","Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1995-12-15,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,/i1b7potegowFC5g11Bs4kdqOVDE.jpg,6.768,28,0.7835,MOVIE,en,"Richard Harris, James Earl Jones, Charles S. Dutton, Vusi Kunene, Tsholofelo Wechoemang",Darrell James Roodt
41,31174,Richard III,Richard III,"Having helped his brother King Edward IV take the throne of England, the jealous hunchback Richard, Duke of Gloucester, plots to seize power for himself. Masterfully deceiving and plotting against nearly everyone in the royal court, including his eventual wife, Lady Anne, and his brother George, Duke of Clarence, Richard orchestrates a bloody rise to power before finding all his gains jeopardized by those he betrayed.",1995-12-29,/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg,6.8,195,1.4205,MOVIE,en,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Kristin Scott Thomas",Richard Loncraine
42,11443,Dead Presidents,Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,1995-09-29,/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,/c8H6Xi9im1tT6HP9PA9HpFE3sOy.jpg,6.685,321,2.6541,MOVIE,en,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson","Albert Hughes, Allen Hughes"
43,35196,Restoration,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",1995-12-29,/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,/nrd3UFXhaqV6odGd9cOVJfdqqGT.jpg,6.093,135,1.8472,MOVIE,en,"Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis, Hugh Grant",Michael Hoffman
44,9312,Mortal Kombat,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",1995-08-18,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,/dfU9xyEEyLxvZ5unTn05Whm9Lce.jpg,5.882,2515,9.2525,MOVIE,en,"Robin Shou, Cary-Hiroyuki Tagawa, Linden Ashby, Bridgette Wilson-Sampras, Christopher Lambert",Paul W. S. Anderson
45,577,To Die For,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",1995-09-22,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,/2g58NnfO9ecZc0VcP0i0EVyKV7m.jpg,6.596,876,3.3957,MOVIE,en,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas",Gus Van Sant
46,11861,How to Make an American Quilt,How to Make an American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",1995-10-06,/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,/nOPCU3zmLTp1A6KpPtHTuAyzkf5.jpg,6.405,195,1.7204,MOVIE,en,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons",Jocelyn Moorhouse
47,807,Se7en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg,8.38,22979,21.7548,MOVIE,en,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",David Fincher
48,10530,Pocahontas,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",1995-06-16,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,/fDZ2DCKW2D7J0ABNr9EICdD2H1s.jpg,6.9,6048,5.873,MOVIE,en,"Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Christian Bale","Mike Gabriel, Eric Goldberg"
49,8391,When Night Is Falling,When Night Is Falling,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",1995-02-01,/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,/5CCPKLWg0YWajQEXWYeY2w5c8qS.jpg,6.281,89,1.6437,MOVIE,en,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox, Don McKellar",Patricia Rozema
50,629,The Usual Suspects,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,/hy0Hx9fMPk2fmw26Li60z1S2giU.jpg,8.17,11347,11.5404,MOVIE,en,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey",Bryan Singer
52,11448,Mighty Aphrodite,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",1995-09-13,/ice135yQZp4iX2SgCmd90nKgS5j.jpg,/hSY4PYJSFW5JWeQqOs2LAzG0W8a.jpg,6.735,741,2.3538,MOVIE,en,"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham, Donald Symington",Woody Allen
53,49133,Lamerica,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1994-09-09,/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,/1udmBSCUyP6FDrnUNQ9CjSlp0iz.jpg,7.143,63,0.7995,MOVIE,it,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Elida Janushi",Gianni Amelio
54,26441,The Big Green,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",1995-09-29,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,/bSE6JsSOvY350NhaT2nhUhl5hUE.jpg,5.599,202,1.4281,MOVIE,en,"Olivia D'Abo, Steve Guttenberg, Chauncey Leopardi, Patrick Renna, Billy L. Sullivan",Holly Goldberg Sloan
